"name" "value"
"Makonde" "Matrilocal"
"Makua" "Matrilocal"
"Iwa" "Patrilocal"
"Ngonde" "Neolocal"
"Safwa" "Patrilocal"
"Bende" "Patrilocal"
"Fipa" "Patrilocal"
"Nyamwezi" "Patrilocal"
"Pimbwe" "Patrilocal"
"Sukuma" "Patrilocal"
"Sangu" "Patrilocal"
"Gogo" "Patrilocal"
"Rangi" "Patrilocal"
"Turu" "Patrilocal"
"Kwere" "Matrilocal"
"Zigula" "Matrilocal"
"Hadimu" "Patrilocal"
"Digo" "Patrilocal"
"Duruma" "Patrilocal"
"Giriama" "Patrilocal"
"Pokomo" "Patrilocal"
"Kamba" "Patrilocal"
"Meru" "Patrilocal"
"Pare" "Patrilocal"
"Teita" "Patrilocal"
"Kara" "Patrilocal"
"Sonjo" "Patrilocal"
"Tiriki" "Patrilocal"
"Vugusu" "Patrilocal"
"Haya" "Patrilocal"
"Kerewe" "Patrilocal"
"Konjo" "Patrilocal"
"Nyankole" "Patrilocal"
"Soga" "Patrilocal"
"Sumbwa" "Patrilocal"
"Toro" "Patrilocal"
"Zinza" "Patrilocal"
"Bashi" "Patrilocal"
"Ha" "Patrilocal"
"Hunde" "Patrilocal"
"Lulua" "Patrilocal"
"Rega" "Patrilocal"
"Songe" "Patrilocal"
"Yeke" "Patrilocal"
"Ekonda" "Patrilocal"
"Kela" "Patrilocal"
"Kutshu" "Patrilocal"
"Lalia" "Patrilocal"
"Mongo" "Patrilocal"
"Tetela" "Patrilocal"
"Topoke" "Patrilocal"
"Lokele" "Patrilocal"
"Ngala" "Patrilocal"
"Poto" "Patrilocal"
"Bira" "Patrilocal"
"Budu" "Patrilocal"
"Kumu" "Patrilocal"
"Ndaka Babali" "Patrilocal"
"Plains Bira" "Patrilocal"
"Rumbi" "Patrilocal"
"Bombesa" "Patrilocal"
"Budja" "Patrilocal"
"Ndoko" "Patrilocal"
"Ngombe" "Patrilocal"
"Dzem" "Patrilocal"
"Kota" "Patrilocal"
"Ngumba" "Patrilocal"
"Sanga" "Patrilocal"
"Bubi" "Patrilocal"
"Kundu" "Patrilocal"
"Mpongwe" "Patrilocal"
"Puku" "Patrilocal"
"Bafia" "Patrilocal"
"Bali" "Patrilocal"
"Bamum" "Patrilocal"
"Banen" "Patrilocal"
"Fungom" "Patrilocal"
"Koko" "Patrilocal"
"Kom" "Matrilocal"
"Ndob" "Patrilocal"
"Nsaw" "Patrilocal"
"Nsungli" "Patrilocal"
"Tikar" "Patrilocal"
"Eidekum" "Patrilocal"
"Goroa" "Patrilocal"
"Esa" "Patrilocal"
"Arusi" "Patrilocal"
"Gibe" "Patrilocal"
"Macha" "Patrilocal"
"Burji" "Patrilocal"
"Darasa" "Patrilocal"
"Sidamo" "Patrilocal"
"Tsamai" "Patrilocal"
"Arbore" "Patrilocal"
"Banna" "Patrilocal"
"Galab" "Patrilocal"
"Hammar" "Patrilocal"
"Male" "Patrilocal"
"Bako" "Patrilocal"
"Dime" "Patrilocal"
"Shangama" "Patrilocal"
"Ubamer" "Patrilocal"
"Anfillo" "Patrilocal"
"Basketo" "Patrilocal"
"Janjero" "Patrilocal"
"Kafa" "Patrilocal"
"Falasha" "Patrilocal"
"Barea" "Neolocal"
"Kunama" "Neolocal"
"Ababda" "Patrilocal"
"Amarar" "Patrilocal"
"Beni Amer" "Patrilocal"
"Bogo" "Patrilocal"
"Tigre" "Patrilocal"
"Midobi" "NA"
"Gimma" "Patrilocal"
"Habbania" "Patrilocal"
"Hemat" "Patrilocal"
"Messiria Humr" "Patrilocal"
"Shuwa" "Patrilocal"
"Fur" "Neolocal"
"Kanembu" "Patrilocal"
"Kanuri" "Patrilocal"
"Zerma" "NA"
"Aulliminden" "NA"
